"League","Year","Season","Type","blueTeamTag","bResult","rResult","redTeamTag","gamelength","bInhibs","bDragons","bBarons","bHeralds","rInhibs","rDragons","rBarons","rHeralds","blueTop","blueTopChamp","blueJungle","blueJungleChamp","blueMiddle","blueMiddleChamp","blueADC","blueADCChamp","blueSupport","blueSupportChamp","redTop","redTopChamp","redJungle","redJungleChamp","redMiddle","redMiddleChamp","redADC","redADCChamp","redSupport","redSupportChamp","Address"
"CBLoL","2016","Summer","Season","RED","0","1","BGG","62","[]","[[52.265, 'ELDER_DRAGON'], [18.416, 'AIR_DRAGON']]","[[60.215]]","[]","[[60.942, 'MID_LANE'], [40.525, 'BOT_LANE'], [31.197, 'BOT_LANE']]","[[41.104, 'ELDER_DRAGON'], [31.614, 'WATER_DRAGON'], [25.296, 'EARTH_DRAGON']]","[[52.329], [42.343]]","[]","Ayel","Swain","YoDa SL","Nidalee","Brucer","Leblanc","SacyR","Caitlyn","Dioud","Bard","Ranger","Ekko","Tierwulf VPP","RekSai","Rakin VPP","Zilean","Luskka","Lucian","RedBert VPP","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390237?gameHash=70d51e4f47cc4609"
"CBLoL","2016","Summer","Season","BGG","1","0","RED","57","[[56.121, 'BOT_LANE'], [53.703, 'MID_LANE']]","[[53.126, 'ELDER_DRAGON']]","[[36.06], [54.172]]","[]","[[35.318, 'BOT_LANE'], [40.014, 'TOP_LANE'], [44.232, 'MID_LANE']]","[[25.352, 'AIR_DRAGON'], [10.09, 'AIR_DRAGON'], [18.487, 'EARTH_DRAGON'], [38.065, 'ELDER_DRAGON'], [31.575, 'WATER_DRAGON']]","[[46.024]]","[]","Ranger","Gragas","Tierwulf VPP","RekSai","Rakin VPP","Viktor","Luskka","Sivir","RedBert VPP","Braum","Ayel","Trundle","YoDa SL","Nidalee","Brucer","Ekko","SacyR","Lucian","Dioud","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390245?gameHash=373e537c071d8483"
"CBLoL","2016","Summer","Season","OPK","0","1","ITZ","46","[]","[[16.721, 'FIRE_DRAGON']]","[]","[]","[[35.545, 'MID_LANE'], [43.335, 'MID_LANE'], [38.568, 'TOP_LANE']]","[[29.666, 'EARTH_DRAGON'], [36.768, 'ELDER_DRAGON'], [9.937, 'FIRE_DRAGON'], [23.192, 'AIR_DRAGON']]","[[24.872], [40.433], [33.151]]","[]","SkyBart","Swain","Turtle","Graves","Goku","Lissandra","Skyer","Sivir","Professor","Braum","Yang","Ekko","Revolta","Gragas","tockers","Viktor","micaO","Lucian","Jockster","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390258?gameHash=8cc456bc3b4310cf"
"CBLoL","2016","Summer","Season","ITZ","1","0","OPK","35","[[34.413, 'TOP_LANE']]","[[21.43, 'WATER_DRAGON'], [15.26, 'WATER_DRAGON'], [28.554, 'FIRE_DRAGON']]","[]","[]","[]","[[8.52, 'WATER_DRAGON']]","[]","[]","Yang","Ekko","Revolta","RekSai","tockers","Lissandra","micaO","Ezreal","Jockster","Bard","SkyBart","Maokai","Turtle","Elise","Goku","Zilean","Skyer","Lucian","Professor","Leona","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390260?gameHash=18c60f81ab39f561"
"CBLoL","2016","Summer","Season","ITZ","0","1","BGG","48","[[34.044, 'MID_LANE'], [33.982, 'BOT_LANE']]","[[25.573, 'EARTH_DRAGON'], [12.39, 'EARTH_DRAGON'], [31.731, 'WATER_DRAGON']]","[[30.923]]","[[19.656]]","[[40.262, 'BOT_LANE'], [36.741, 'MID_LANE'], [46.954, 'MID_LANE']]","[[19.061, 'FIRE_DRAGON'], [38.195, 'ELDER_DRAGON']]","[[38.361]]","[]","Yang","Irelia","Revolta","Kindred","tockers","Anivia","micaO","Ezreal","Jockster","Nami","Ranger","Malphite","Tierwulf VPP","Gragas","Rakin VPP","Vladimir","Luskka","Sivir","RedBert VPP","Nautilus","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410051?gameHash=2fce932098795fa5"
"CBLoL","2016","Summer","Season","BGG","0","1","ITZ","25","[]","[]","[]","[]","[[23.813, 'MID_LANE'], [24.291, 'BOT_LANE']]","[[22.764, 'EARTH_DRAGON'], [14.97, 'WATER_DRAGON'], [8.337, 'WATER_DRAGON']]","[[21.958]]","[[12.541]]","Ranger","Jax","Tierwulf VPP","Kindred","Rakin VPP","Viktor","Luskka","Sivir","RedBert VPP","Taric","Yang","Irelia","Revolta","Elise","tockers","Azir","micaO","Ezreal","Jockster","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410059?gameHash=af090ee587f3031c"
"CBLoL","2016","Summer","Season","CNB","1","0","KBM","47","[[46.077, 'TOP_LANE'], [46.208, 'BOT_LANE']]","[[32.085, 'AIR_DRAGON'], [18.983, 'WATER_DRAGON'], [12.256, 'WATER_DRAGON'], [25.31, 'WATER_DRAGON']]","[[41.1]]","[]","[]","[[40.175, 'ELDER_DRAGON']]","[]","[]","LEP","Irelia","Minerva","RekSai","tinowns","Swain","pbO","Jhin","Wos","Braum","Zantins","Jax","Zuao","Gragas","Vash","Lissandra","Matsukaze","Ezreal","Verfix","Bard","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410064?gameHash=04f29577b8665371"
"CBLoL","2016","Summer","Season","KBM","0","1","CNB","50","[]","[[38.93, 'ELDER_DRAGON']]","[]","[[15.307]]","[[47.154, 'TOP_LANE'], [48.816, 'BOT_LANE'], [46.672, 'MID_LANE']]","[[15.714, 'WATER_DRAGON'], [22.68, 'AIR_DRAGON'], [32.509, 'EARTH_DRAGON']]","[[35.77], [44.768]]","[]","Zantins","Jax","Zuao","RekSai","Vash","Vladimir","Matsukaze","Ezreal","Verfix","Karma","LEP","Fiora","Minerva","Elise","tinowns","Swain","pbO","Jinx","Wos","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410068?gameHash=c8f67ecdfcfe2ce9"
"CBLoL","2016","Summer","Season","OPK","1","0","RED","31","[[30.036, 'MID_LANE']]","[[12.094, 'EARTH_DRAGON'], [24.778, 'WATER_DRAGON']]","[[27.3]]","[]","[]","[[18.452, 'EARTH_DRAGON']]","[]","[[12.464]]","SkyBart","Irelia","Turtle","Elise","Goku","Leblanc","Skyer","Ashe","Professor","Zyra","Ayel","Olaf","YoDa SL","RekSai","Brucer","Zilean","SacyR","Twitch","Dioud","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420088?gameHash=c8a9eda8c69ffeac"
"CBLoL","2016","Summer","Season","RED","0","1","OPK","30","[]","[]","[]","[]","[[25.877, 'MID_LANE'], [29.298, 'TOP_LANE']]","[[20.222, 'WATER_DRAGON'], [12.865, 'WATER_DRAGON'], [26.961, 'FIRE_DRAGON'], [6.344, 'FIRE_DRAGON']]","[[24.35]]","[[10.609]]","Ayel","Olaf","YoDa SL","RekSai","Brucer","Vladimir","SacyR","Ezreal","Dioud","Nami","SkyBart","Fiora","Turtle","Elise","Goku","Anivia","Skyer","Ashe","Professor","Zyra","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420089?gameHash=4339baa984ae7b3a"
